sofifa_id,short_name,age,nationality,club_name,player_positions,overall,potential,value_eur,wage_eur,pace,shooting,passing,dribbling,defending,physic,is_goalkeeper,growth_gap,value_per_rating,age_group
158023,L. Messi,33,Argentina,FC Barcelona,"RW, ST, CF",93,93,67500000,560000,85.0,92.0,91.0,95.0,38.0,65.0,False,0,725806.4516129033,33+
20801,Cristiano Ronaldo,35,Portugal,Juventus,"ST, LW",92,92,46000000,220000,89.0,93.0,81.0,89.0,35.0,77.0,False,0,500000.0,33+
200389,J. Oblak,27,Slovenia,Atlético Madrid,GK,91,93,75000000,125000,,,,,,,True,2,824175.8241758242,25-28
188545,R. Lewandowski,31,Poland,FC Bayern München,ST,91,91,80000000,240000,78.0,91.0,78.0,85.0,43.0,82.0,False,0,879120.8791208791,29-32
190871,Neymar Jr,28,Brazil,Paris Saint-Germain,"LW, CAM",91,91,90000000,270000,91.0,85.0,86.0,94.0,36.0,59.0,False,0,989010.989010989,25-28
192985,K. De Bruyne,29,Belgium,Manchester City,"CAM, CM",91,91,87000000,370000,76.0,86.0,93.0,88.0,64.0,78.0,False,0,956043.956043956,29-32
231747,K. Mbappé,21,France,Paris Saint-Germain,"ST, LW, RW",90,95,105500000,160000,96.0,86.0,78.0,91.0,39.0,76.0,False,5,1172222.2222222222,20-24
192448,M. ter Stegen,28,Germany,FC Barcelona,GK,90,93,69500000,260000,,,,,,,True,3,772222.2222222222,25-28
203376,V. van Dijk,28,Netherlands,Liverpool,CB,90,91,75500000,210000,76.0,60.0,71.0,71.0,91.0,86.0,False,1,838888.8888888889,25-28
212831,Alisson,27,Brazil,Liverpool,GK,90,91,62500000,160000,,,,,,,True,1,694444.4444444445,25-28
208722,S. Mané,28,Senegal,Liverpool,LW,90,90,78000000,250000,94.0,85.0,80.0,90.0,44.0,76.0,False,0,866666.6666666666,25-28
209331,M. Salah,28,Egypt,Liverpool,RW,90,90,78000000,250000,93.0,86.0,81.0,90.0,45.0,75.0,False,0,866666.6666666666,25-28
192119,T. Courtois,28,Belgium,Real Madrid,GK,89,90,56000000,250000,,,,,,,True,1,629213.4831460674,25-28
153079,S. Agüero,32,Argentina,Manchester City,ST,89,89,53000000,300000,78.0,90.0,77.0,88.0,33.0,73.0,False,0,595505.6179775281,29-32
155862,Sergio Ramos,34,Spain,Real Madrid,CB,89,89,24500000,300000,71.0,70.0,76.0,73.0,88.0,85.0,False,0,275280.8988764045,33+
